LoanAmount,City,State,Zip,NAICSCode,BusinessType,NonProfit,RaceEthnicity,Gender,Veteran,JobsReported,DateApproved,YearApproved,Lender,Lender 1,Lender_clean,Lender 2,CD
130332,HONOLULU,HI,96815,454390,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,,2020-05-18,2020,"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",FC MARKETPLACE,"FC MARKETPLACE, LLC (DBA FUNDING CIRCLE)",LLC (DBA FUNDING CIRCLE),HI-01
10213.55,KANEOHE,HI,96744,812112,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,05/04/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-02
58800,WAIPAHU,HI,96797,532310,CORPORATION,,ASIAN,MALE OWNED,Non-Veteran,5,04/15/2020,2020,Hawaii National Bank.,Hawaii National Bank,,,HI-01
20832,HONOLULU,HI,96813,524210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,,06/18/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
26100,KALAHEO,HI,96741,531120,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,3,04/09/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
3447.3,HONOLULU,HI,96813,812111,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,05/12/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-01
20200,EWA BEACH,HI,96706,722320,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,13,04/28/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
4700,HONOLULU,HI,96826,423420,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
5300,HONOLULU,HI,96825,531210,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,1,05/01/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
10800,HONOLULU,HI,96816,541613,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
13500,WAILUKU,HI,96793,453220,CORPORATION,,UNANSWERED,MALE OWNED,Non-Veteran,2,05/04/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
52300,KALAHEO,HI,96741,722511,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,7,04/05/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
39800,KALAHEO,HI,96741,811111,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,4,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
121200,HONOLULU,HI,96816,721199,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,22,04/15/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
70557,PRINCEVILLE,HI,96722,711110,PARTNERSHIP,,UNANSWERED,FEMALE OWNED,Non-Veteran,31,06/26/2020,2020,Intuit Financing Inc.,Intuit Financing Inc,,,HI-02
1500,HONOLULU,HI,96825,453220,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,0,05/26/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
22700,HONOLULU,HI,96814,541110,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,04/05/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
89277,HONOLULU,HI,96818,623110,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,13,05/11/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
132500,HONOLULU,HI,96826,722513,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,23,04/06/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
32900,HONOLULU,HI,96821,813110,NON-PROFIT ORGANIZATION,Y,UNANSWERED,UNANSWERED,Unanswered,3,04/16/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
30500,WAIKOLOA,HI,96738,561312,SOLE PROPRIETORSHIP,,UNANSWERED,MALE OWNED,Non-Veteran,3,04/13/2020,2020,"Readycap Lending, LLC",Readycap Lending,"READYCAP LENDING, LLC",LLC,HI-02
37755,KANEOHE,HI,96744,811121,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,3,04/16/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
21665,KAPAA,HI,96746,561720,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,2,04/13/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
106000,KANEOHE,HI,96744,622110,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,10,04/05/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
50000,KAPOLEI,HI,96707,811121,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Veteran,4,04/05/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
69500,HONOLULU,HI,96825,238210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,7,04/12/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
19025,MAKAWAO,HI,96768,541611,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,04/15/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
44700,OCEAN VIEW,HI,96737,999990,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,04/09/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
54800,HONOLULU,HI,96813,531311,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,8,04/27/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
13500,KIHEI,HI,96753,713990,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,2,04/11/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
71400,AIEA,HI,96701,541990,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,4,04/08/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
20832,HONOLULU,HI,96813,531390,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,,06/23/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
6695,PEARL CITY,HI,96782,812112,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
49700,HONOLULU,HI,96817,236115,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,9,04/13/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
2200,EWA BEACH,HI,96706,454390,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,2020-04-30,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
6557,EWA BEACH,HI,96706,561730,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/11/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
8345,WAILUKU,HI,96793,423310,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,04/28/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
3863,KAILUA KONA,HI,96734,711510,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,05/06/2020,2020,"wells fargo bank, national association",wells fargo bank,"WELLS FARGO BANK, NATIONAL ASSOCIATION",NATIONAL ASSOCIATION,HI-02
6700,HONOLULU,HI,96825,541211,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,,04/12/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
7250,WAIMANALO,HI,96795,115112,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,04/27/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
20000,HONOLULU,HI,96815,237990,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,1,05/08/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
17600,LAHAINA,HI,96761,531210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/15/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
109300,AIEA,HI,96701,424130,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,7,04/05/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
3241.92,WAHIAWA,HI,96786,722513,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,05/07/2020,2020,HawaiiUSA FCU,HawaiiUSA FCU,,,HI-02
50040,KIHEI,HI,96753,722511,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,14,05/11/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
25000,KAILUA KONA,HI,96734,722330,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,8,04/06/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
52100,HILO,HI,96721,445120,CORPORATION,,UNANSWERED,MALE OWNED,Veteran,7,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
16052,HONOLULU,HI,96817,624310,LIMITED LIABILITY COMPANY(LLC),,ASIAN,MALE OWNED,Non-Veteran,1,04/12/2020,2020,HawaiiUSA FCU,HawaiiUSA FCU,,,HI-01
47400,HONOLULU,HI,96813,541110,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,3,04/05/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
54092.5,HONOLULU,HI,96813,621111,SUBCHAPTER S CORPORATION,,UNANSWERED,MALE OWNED,Unanswered,3,04/14/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
31250,LAHAINA,HI,96761,722511,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,7,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
76000,HONOLULU,HI,96821,238220,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,10,04/10/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
100000,HONOLULU,HI,96818,722511,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,22,04/05/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
61100,HONOLULU,HI,96826,531390,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,5,04/13/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
24333,KAILUA KONA,HI,96740,999990,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,5,2020-04-30,2020,Cross River Bank,Cross River Bank,,,HI-02
20833,KANEOHE,HI,96744,541211,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,2020-04-30,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
16400,HONOLULU,HI,96830,238320,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,06/03/2020,2020,Cache Valley Bank,Cache Valley Bank,,,HI-01
79700,HONOLULU,HI,96813,531130,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,12,04/15/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
4697,WAIALUA,HI,96791,522320,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,8,05/06/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
120000,HILO,HI,96720,722511,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,41,04/16/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
25000,HILO,HI,96720,621310,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,3,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
41700,HONOLULU,HI,96814,221118,CORPORATION,,UNANSWERED,MALE OWNED,Non-Veteran,2,04/09/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
13499,KAHULUI,HI,96732,423620,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
132000,HONOLULU,HI,96813,621111,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,8,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
7899.8,LAHAINA,HI,96761,621399,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,,2020-07-22,2020,"Fundbox, Inc.",Fundbox,"FUNDBOX, INC.",INC.,HI-02
89000,HONOLULU,HI,96813,236220,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,0,04/29/2020,2020,Live Oak Banking Company,Live Oak Banking Company,,,HI-01
20833,HONOLULU,HI,96816,236115,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,04/29/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
84400,MAKAWAO,HI,96768,221310,CORPORATION,,WHITE,MALE OWNED,Non-Veteran,6,04/14/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
86300,PUUNENE,HI,96784,238310,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,0,04/29/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
50000,KAILUA KONA,HI,96734,541310,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Unanswered,6,04/06/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
2099.31,HONOLULU,HI,96825,812112,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,0,04/29/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-01
49210,HONOLULU,HI,96817,813110,NON-PROFIT ORGANIZATION,Y,UNANSWERED,UNANSWERED,Unanswered,,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
16300,KAPAA,HI,96746,561720,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,40,05/03/2020,2020,Gather FCU,Gather FCU,,,HI-02
65600,HONOLULU,HI,96813,541211,CORPORATION,,ASIAN,FEMALE OWNED,Non-Veteran,,04/14/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
9000,HONOLULU,HI,96813,541110,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,,04/12/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
3400,LIHUE,HI,96766,311811,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/08/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
5000,HONOLULU,HI,96816,485310,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,,04/16/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
14426,LIHUE,HI,96766,711211,NON-PROFIT ORGANIZATION,Y,UNANSWERED,UNANSWERED,Unanswered,6,2020-04-30,2020,Cross River Bank,Cross River Bank,,,HI-02
21890,HONOLULU,HI,96819,722513,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,6,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
29500,HONOLULU,HI,96817,722511,CORPORATION,,ASIAN,MALE OWNED,Non-Veteran,3,04/03/2020,2020,Ohana Pacific Bank,Ohana Pacific Bank,,,HI-01
4252,KAILUA KONA,HI,96734,541219,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,1,07/20/2020,2020,"Kabbage, Inc.",Kabbage,"KABBAGE, INC.",INC.,HI-02
147800,HONOLULU,HI,96819,445210,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,17,04/06/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
23700,HONOLULU,HI,96814,561730,CORPORATION,,UNANSWERED,MALE OWNED,Non-Veteran,0,05/08/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
79582,HONOLULU,HI,96815,722511,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,15,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
56800,HONOLULU,HI,96821,621111,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,04/11/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
20800,HILO,HI,96720,541618,INDEPENDENT CONTRACTORS,,UNANSWERED,MALE OWNED,Unanswered,1,04/29/2020,2020,Ohana Pacific Bank,Ohana Pacific Bank,,,HI-02
4122,KAPOLEI,HI,96707,523930,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,3,05/19/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
115400,KEAAU,HI,96749,424930,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,30,04/07/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
15000,HONOLULU,HI,96817,236118,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,2020-05-18,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
143100,HONOLULU,HI,96813,541110,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,9,04/06/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
37570,WAILUKU,HI,96793,531311,PARTNERSHIP,,UNANSWERED,UNANSWERED,Unanswered,,04/12/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
9375,HONOLULU,HI,96817,722515,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,MALE OWNED,Non-Veteran,5,04/15/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
8125,HAIKU,HI,96708,561730,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
3400,KAILUA KONA,HI,96740,611610,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,2,04/29/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
4700,HONOLULU,HI,96819,722513,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,2,04/16/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
9148,KULA,HI,96790,541930,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,1,08/07/2020,2020,"Kabbage, Inc.",Kabbage,"KABBAGE, INC.",INC.,HI-02
40170,WAIPAHU,HI,96797,114111,PARTNERSHIP,,UNANSWERED,UNANSWERED,Unanswered,2,07/09/2020,2020,"Kabbage, Inc.",Kabbage,"KABBAGE, INC.",INC.,HI-01
82700,KAHULUI,HI,96732,621210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,11,2020-04-30,2020,First Foundation Bank,First Foundation Bank,,,HI-02
20832.5,HONOLULU,HI,96816,999990,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,1,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
23100,HONOLULU,HI,96821,448120,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,1,04/15/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
61345,EWA BEACH,HI,96706,722511,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,,04/12/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
26000,KULA,HI,96790,621111,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,1,04/29/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
19700,LIHUE,HI,96766,812910,SOLE PROPRIETORSHIP,,UNANSWERED,MALE OWNED,Non-Veteran,4,04/11/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
26900,KANEOHE,HI,96744,541211,SUBCHAPTER S CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,4,04/16/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
17377,HONOLULU,HI,96817,541211,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,3,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
10000,HONOLULU,HI,96815,561520,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,2,06/30/2020,2020,Cross River Bank,Cross River Bank,,,HI-01
3621,LAHAINA,HI,96761,812113,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,1,08/05/2020,2020,"Kabbage, Inc.",Kabbage,"KABBAGE, INC.",INC.,HI-02
19100,AIEA,HI,96701,441120,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,5,04/28/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
41400,HONOLULU,HI,96814,621111,CORPORATION,,WHITE,MALE OWNED,Non-Veteran,4,04/15/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
7500,LAHAINA,HI,96761,713990,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/29/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
11500,HONOLULU,HI,96816,531210,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,2,04/06/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
7188,HONOLULU,HI,96816,531210,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,06/03/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
3300,HONOLULU,HI,96813,561720,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,05/14/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-01
5600,HALEIWA,HI,96712,561720,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,0,04/29/2020,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
102865,HONOLULU,HI,96819,621210,CORPORATION,,ASIAN,FEMALE OWNED,Non-Veteran,,04/15/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
12000,KANEOHE,HI,96744,611430,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,,04/12/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-02
2645.79,HONOLULU,HI,96814,812112,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,0,05/03/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-01
8800,KIHEI,HI,96753,531210,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,2020-05-18,2020,"American Savings Bank, FSB",American Savings Bank,"AMERICAN SAVINGS BANK, FSB",FSB,HI-02
58102,KAILUA KONA,HI,96740,999990,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,05/01/2020,2020,"JPMorgan Chase Bank, National Association",JPMorgan Chase Bank,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",NATIONAL ASSOCIATION,HI-02
42100,KAILUA KONA,HI,96740,811111,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,5,04/09/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
63900,HONOLULU,HI,96816,812910,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,FEMALE OWNED,Non-Veteran,4,04/10/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
23300,HONOLULU,HI,96817,621111,CORPORATION,,UNANSWERED,FEMALE OWNED,Non-Veteran,0,05/21/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
11687.02,LIHUE,HI,96766,621111,INDEPENDENT CONTRACTORS,,UNANSWERED,UNANSWERED,Unanswered,0,05/15/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-02
5502.26,EWA BEACH,HI,96706,,SOLE PROPRIETORSHIP,,UNANSWERED,UNANSWERED,Unanswered,1,05/03/2020,2020,Celtic Bank Corporation,Celtic Bank Corporation,,,HI-01
39700,AIEA,HI,96701,621111,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,4,04/13/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
33977,HONOLULU,HI,96814,621111,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,4,04/27/2020,2020,Bank of Hawaii,Bank of Hawaii,,,HI-01
3100,HONOLULU,HI,96825,813319,NON-PROFIT ORGANIZATION,Y,UNANSWERED,UNANSWERED,Unanswered,1,2020-04-30,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
62690,KAPOLEI,HI,96707,621112,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,11,05/04/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-02
115200,HONOLULU,HI,96825,722310,CORPORATION,,UNANSWERED,MALE OWNED,Non-Veteran,10,04/14/2020,2020,"Readycap Lending, LLC",Readycap Lending,"READYCAP LENDING, LLC",LLC,HI-01
78792.5,MILILANI,HI,96789,238120,CORPORATION,,UNANSWERED,UNANSWERED,Unanswered,8,04/15/2020,2020,FIRST HAWAIIAN BANK,FIRST HAWAIIAN BANK,,,HI-01
11400,HONOLULU,HI,96817,451130,SELF-EMPLOYED INDIVIDUALS,,UNANSWERED,UNANSWERED,Unanswered,0,05/12/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-01
19100,WAILUKU,HI,96793,238220,LIMITED LIABILITY COMPANY(LLC),,UNANSWERED,UNANSWERED,Unanswered,1,04/29/2020,2020,Central Pacific Bank,Central Pacific Bank,,,HI-02
