id,name,sponsor,event,venue,place,city,physical_description,physical_types,size,occasion,notes,call_number,call_number_suffix,keywords,language,date,year,location,location_type,currency,currency_symbol,status,page_count,dish_count
16941,,STATLER'S HOTEL AND RESTAURANT,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, NY",BUFFALO,CARD; COL; ILLUS; 5.75 X 8;,CARD,5.75X8,UNKNOWN,GREEN ILLUSTRATION OF HOTEL AND BUFFALO EXPOSITION (?);,1901-1813,,,,1901-07-02T00:00:00Z,1901,STATLER'S HOTEL AND RESTAURANT,,,,complete,2,23
35307,Plaza,PLAZA,,,,,,,,UNKNOWN,The Chironian,1913-0535,WOTM,,,1913-05-29T00:00:00Z,1913,PLAZA,,,,complete,8,16
28851,,HOLLAND AMERICA CRUISES,,,,,28x21.5cm folded; 28x43 open,FOLDER,28X21.5;28X43,UNKNOWN,,1987-0084,WOTM,,,1987-01-01T00:00:00Z,1987,HOLLAND AMERICA CRUISES,,Dollars,$,complete,3,45
32703,Delmonicos,DELMONICOS,,,,,30.5x22cm,,30.5X22,UNKNOWN,menu also printed in French,1917-0441,WOTM,,,1917-11-13T00:00:00Z,1917,DELMONICOS,,Dollars,$,complete,2,254
23366,,SOCIETY SONS OF THE REVOLUTION IN THE STATE OF MISSOURI,BANQUET,PATR,"MERCANTILE CLUB HOUSE, ST. LOUIS MO",ST. LOUIS,CARD FOLDER; ILLUS; COL; 4.25 X 5.5;,CARD,4.25X5.5,OTHER (ANNIV),"PORTRAIT OF WASHINGTON, BLUE; GOLD LAUREL WREATH; FRENCH; TWO COPIES;",1895-043,,,,1895-02-22T00:00:00Z,1895,SOCIETY SONS OF THE REVOLUTION IN THE STATE OF MISSOURI,,,,complete,6,12
22600,,COEUR DE LION CAMMANDERY NUMBER TWENTY-THREE KNIGHTS TEMPLAR,BANQUET,SOC,NEW YORK,NEW YORK,FOLDER; ILLUS; 6 X 9;,FOLDER,6X9,COMPLIMENTARY/TESTIMONIAL,COURSES CHOSEN TO ILLUSTATION VARIOUS AREAS OF THE U.S.; SMALL SKETCHES; SKETCH OF EDWIN C. HALL;,1907-065,,,,1907-01-11T00:00:00Z,1907,COEUR DE LION CAMMANDERY NUMBER TWENTY THREE KNIGHTS TEMPLAR,,,,complete,8,18
25930,,ASTOR HOUSE,DINNER,COMMERCIAL,NEW YORK,NEW YORK,FOLDER; ILLUS; 7 X 10;,FOLDER,7X10,DINNER,PRICED MENU AND WINE LIST; ILLUS. OF HOTEL; CAUTIONARY NOTE ABOUT CHECKING PRICES ON CHECK WITH MENU;,1900-062,,,,1900-01-07T00:00:00Z,1900,ASTOR HOUSE,,Dollars,$,complete,4,489
24331,,AMERICAN LINE TO MONTREAL,BREAKFAST,COMMERCIAL,AT SEA,UNKNOWN,CARD; ILLUS; 5.25 X 8.25;,CARD,5.25X8.25,UNKNOWN,ILLUSTRATION OF SHIP; PRICED WINE LIST;,1898-212,,,,1898-07-01T00:00:00Z,1898,AMERICAN LINE TO MONTREAL,,Dollars,$,complete,2,43
24693,,AMEN CORNER AXE,DINNER,POL,"FIFTH AVENUE HOTEL, [NEW YORK]",NEW YORK,BOOKLET; 16 X 12,BOOKLET,16X12,"OTHER, [SOC?]",CHAMPAGNES AND WINES LISTED;8 PAGE IRREVERANT NEWPAPER FORMAT;,1908-105,,,,1908-02-01T00:00:00Z,1908,AMEN CORNER AXE,,,,complete,8,26
32777,The Biltmore,THE BILTMORE,,,,,28x18cm folded; 28x36cm opened,FOLDER,28X18;28X36,UNKNOWN,National Hotel Men's Exposition,1917-0514,WOTM,,,1917-11-17T00:00:00Z,1917,THE BILTMORE,,Dollars,$,complete,4,164
28574,,COFFEE HOUSE,,,,,21.5x14cm folded; 21.5x28cm open,FOLDER,21.5X14;21.5X28,UNKNOWN,,1957-0112,WOTM,,,1957-12-12T00:00:00Z,1957,COFFEE HOUSE,,Dollars,$,complete,5,69
26802,,KAISERHOF,,RESTAURANT,Kaiserhof,UNKNOWN,Folder; 8 x 11.5 inches,FOLDER,8X11.5,UNKNOWN,Dieter Zander Collection; prices are written in by hand.,Zander 361,,,,1976-04-11T00:00:00Z,1976,KAISERHOF,,Deutsche Marks,DM,complete,4,76
23179,,BIRMINGHAM ALUMNI ASSOCIATION OF THE UNIVERSITY OF THE SOUTH,BANQUET,EDUC,"BIRMINGHAM,ALABAMA",BIRMINGHAM,BOOKLET;RIBBON TRIM;5X7;,BOOKLET,5X7,ANNUAL,LIST OF SPEAKERS & MEMBERS;,1906-781,,,,1906-10-26T00:00:00Z,1906,BIRMINGHAM ALUMNI ASSOCIATION OF THE UNIVERSITY OF THE SOUTH,,,,complete,8,23
25791,,FREINDS OF WILLIAM CLAUSS,DINNER,SOC,"THE ST. NICHOLAS, CINCINNATI, OH",CINCINNATI,CARD; COL; ILLUS; 11/25 X 4/25;,CARD,11.25X4.25,COMPLIMENTARY/TESTIMONIAL,"MARTINIS AND WINES IWITH EACH COURSE; GRAY STOCK, PINK VELOUR CARNATIONS;",1908-106,,,,1908-02-01T00:00:00Z,1908,FREINDS OF WILLIAM CLAUSS,,,,complete,2,22
